file,source,onset_s,start_s,length_s,score,pre_rms,post_rms
main_b2_01.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,0.121746,0.109746,0.510594,0.081181,0.000851,0.08182
main_b2_02.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,0.62034,0.60834,1.35,0.040652,0.014402,0.051454
main_b2_03.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,5.654377,5.642377,1.35,0.041553,0.024804,0.060156
main_b2_04.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,16.46508,16.45308,0.77361,0.040966,0.01109,0.049284
main_b2_05.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,17.993832,17.981832,0.956694,0.043763,0.041692,0.075032
main_b2_06.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,18.938526,18.926526,0.19361,0.046431,0.04908,0.08324
main_b2_07.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,19.912495,19.900495,0.186535,0.043454,0.051844,0.082337
main_b2_08.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,25.234943,25.222943,1.35,0.086549,0.030453,0.109388
main_b2_09.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,28.326281,28.314281,0.581366,0.061803,0.041535,0.092954
main_b2_10.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,28.895647,28.883647,1.35,0.038681,0.052256,0.077873
main_b2_11.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,30.982267,30.970267,0.392591,0.035315,0.062016,0.081827
main_b2_12.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,31.362858,31.350858,0.991908,0.044858,0.089819,0.112223
main_b2_13.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,32.687054,32.675054,1.35,0.03339,0.092369,0.102666
main_b2_14.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,35.011768,34.999768,0.401298,0.034909,0.05254,0.074314
main_b2_15.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,35.401066,35.389066,0.548846,0.039998,0.062959,0.087217
main_b2_16.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,51.309319,51.297319,1.35,0.076785,0.044464,0.110133
main_b2_17.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,56.452541,56.440541,1.35,0.073732,0.032851,0.098371
main_b2_18.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,65.627731,65.615731,0.469169,0.033295,0.045563,0.067467
main_b2_19.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,66.0849,66.0729,0.519416,0.037514,0.041405,0.068567
main_b2_20.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,66.592316,66.580316,1.35,0.031225,0.082672,0.093229
main_b2_21.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,69.723854,69.711854,1.35,0.053752,0.098509,0.127634
main_b2_22.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,72.590637,72.578637,0.423812,0.12094,0.075025,0.177209
main_b2_23.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,73.002449,72.990449,1.35,0.045916,0.103863,0.123813
main_b2_24.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,77.928139,77.916139,1.35,0.064356,0.047375,0.099887
main_b2_25.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,82.299431,82.287431,0.343611,0.062592,0.034816,0.088704
main_b2_26.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,82.839752,82.827752,0.343833,0.071011,0.067682,0.121772
main_b2_27.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,83.171585,83.159585,1.35,0.034679,0.139793,0.138714
main_b2_28.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,88.789955,88.777955,1.35,0.041004,0.04984,0.078384
main_b2_29.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,100.480247,100.468247,1.35,0.136834,0.040805,0.167438
main_b2_30.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,103.522362,103.510362,0.558638,0.035929,0.072511,0.090312
main_b2_31.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,104.069,104.057,1.35,0.030653,0.075804,0.087506
main_b2_32.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,106.565193,106.553193,1.35,0.0572,0.054334,0.09795
main_b2_33.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,110.211861,110.199861,0.399344,0.053718,0.024053,0.071758
main_b2_34.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,110.599205,110.587205,0.199759,0.074026,0.047871,0.10993
main_b2_35.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,111.169617,111.157617,1.079505,0.040823,0.051598,0.079522
main_b2_36.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,119.173698,119.161698,1.35,0.04287,0.111476,0.126477
main_b2_37.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,120.545349,120.533349,1.35,0.047291,0.190207,0.189162
main_b2_38.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,126.742111,126.730111,1.35,0.059393,0.113601,0.144594
main_b2_39.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,140.925766,140.913766,1.145682,0.039404,0.087352,0.104919
main_b2_40.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,142.951431,142.939431,0.587257,0.066473,0.036679,0.093982
main_b2_41.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,143.526688,143.514688,1.35,0.056973,0.082774,0.119053
main_b2_42.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,150.801315,150.789315,0.18,0.051616,0.044394,0.084912
main_b2_43.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,151.137665,151.125665,1.35,0.044072,0.052688,0.083588
main_b2_44.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,153.701111,153.689111,0.18,0.06826,0.067986,0.11925
main_b2_45.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,160.615082,160.603082,0.948172,0.033018,0.095495,0.10464
main_b2_46.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,193.425629,193.413629,0.960455,0.059179,0.064488,0.107546
main_b2_47.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,198.042969,198.030969,1.35,0.033514,0.04516,0.067384
main_b2_48.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,204.532455,204.520455,0.726325,0.059079,0.051382,0.097616
main_b2_49.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,206.7883,206.7763,1.35,0.137906,0.021794,0.154251
main_b2_50.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,208.441605,208.429605,1.35,0.033311,0.14026,0.133246
main_b2_51.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,210.839844,210.827844,0.361273,0.051295,0.016222,0.063462
main_b2_52.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,214.016281,214.004281,0.209296,0.125488,0.073136,0.180341
main_b2_53.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,214.791901,214.779901,0.576743,0.085982,0.042462,0.117829
main_b2_54.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,216.982132,216.970132,0.956672,0.093126,0.025712,0.11241
main_b2_55.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,217.926804,217.914804,0.362753,0.113422,0.074653,0.169412
main_b2_56.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,218.277557,218.265557,0.364234,0.040621,0.133052,0.14041
main_b2_57.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,218.629791,218.617791,1.35,0.046908,0.114962,0.13313
main_b2_58.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,222.3564,222.3444,0.31124,0.095386,0.08151,0.156518
main_b2_59.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,224.49585,224.48385,1.35,0.040693,0.051142,0.07905
main_b2_60.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,227.392517,227.380517,0.52909,0.084347,0.063605,0.132051
main_b2_61.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,228.098709,228.086709,0.956626,0.076812,0.072921,0.131503
main_b2_62.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,229.043335,229.031335,1.35,0.057234,0.058267,0.100935
main_b2_63.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,231.780594,231.768594,1.35,0.050742,0.092465,0.12009
main_b2_64.wav,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,234.737869,234.725869,1.35,0.061925,0.074245,0.117609
