pad,file,group,source,label,onset_s,start_s,length_s,score,gap_next_s,post_rms
1,main_b2_01.wav,punch,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,29 #Strafford APTS,0.121746,0.111746,0.508594,0.081181,0.498594,0.08182
2,main_b2_02.wav,punch,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,29 #Strafford APTS,25.234943,25.224943,0.9,0.086549,2.718594,0.109388
3,main_b2_03.wav,punch,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,29 #Strafford APTS,28.326281,28.316281,0.579366,0.061803,0.569366,0.092954
4,main_b2_04.wav,punch,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,29 #Strafford APTS,51.309319,51.299319,0.9,0.076785,3.080524,0.110133
5,main_b2_05.wav,punch,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,29 #Strafford APTS,56.452541,56.442541,0.9,0.073732,9.17519,0.098371
6,main_b2_06.wav,punch,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,29 #Strafford APTS,69.723854,69.713854,0.9,0.053752,2.71032,0.127634
7,main_b2_07.wav,punch,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,29 #Strafford APTS,72.590637,72.580637,0.421812,0.12094,0.411812,0.177209
8,main_b2_08.wav,punch,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,29 #Strafford APTS,77.928139,77.918139,0.9,0.064356,2.669166,0.099887
9,main_b2_09.wav,punch,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,29 #Strafford APTS,82.299431,82.289431,0.341611,0.062592,0.331611,0.088704
10,main_b2_10.wav,punch,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,29 #Strafford APTS,82.839752,82.829752,0.341833,0.071011,0.331833,0.121772
11,main_b2_11.wav,punch,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,29 #Strafford APTS,100.480247,100.470247,0.9,0.136834,3.042115,0.167438
12,main_b2_12.wav,punch,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,29 #Strafford APTS,106.565193,106.555193,0.9,0.0572,2.754669,0.09795
13,main_b2_13.wav,punch,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,29 #Strafford APTS,110.211861,110.201861,0.397344,0.053718,0.387344,0.071758
14,main_b2_14.wav,punch,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,29 #Strafford APTS,110.599205,110.589205,0.197759,0.074026,0.187759,0.10993
15,main_b2_15.wav,punch,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,29 #Strafford APTS,126.742111,126.732111,0.9,0.059393,4.412583,0.144594
16,main_b2_16.wav,punch,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,29 #Strafford APTS,142.951431,142.941431,0.585257,0.066473,0.575257,0.093982
17,main_b2_17.wav,punch,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,29 #Strafford APTS,143.526688,143.516688,0.9,0.056973,2.540344,0.119053
18,main_b2_18.wav,punch,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,29 #Strafford APTS,150.801315,150.791315,0.18,0.051616,0.164109,0.084912
19,main_b2_19.wav,punch,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,29 #Strafford APTS,153.701111,153.691111,0.18,0.06826,0.136307,0.11925
20,main_b2_20.wav,punch,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,29 #Strafford APTS,193.425629,193.415629,0.9,0.059179,0.948455,0.107546
21,main_b2_21.wav,punch,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,29 #Strafford APTS,204.532455,204.522455,0.724325,0.059079,0.714325,0.097616
22,main_b2_22.wav,punch,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,29 #Strafford APTS,206.7883,206.7783,0.9,0.137906,1.653305,0.154251
23,main_b2_23.wav,punch,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,29 #Strafford APTS,210.839844,210.829844,0.359273,0.051295,0.349273,0.063462
24,main_b2_24.wav,punch,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,29 #Strafford APTS,214.016281,214.006281,0.207296,0.125488,0.197296,0.180341
25,main_b2_25.wav,punch,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,29 #Strafford APTS,214.791901,214.781901,0.574743,0.085982,0.564743,0.117829
26,main_b2_26.wav,punch,1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,29 #Strafford APTS,216.982132,216.972132,0.9,0.093126,0.944672,0.11241
